sim_time, big_dog?world_pose/orientation/pitch
206.915, -0.00803157
206.916, -0.00766469
206.917, -0.00729529
206.918, -0.00692333
206.919, -0.00654881
206.92, -0.0061717
206.921, -0.00579192
206.922, -0.00540946
206.923, -0.00502433
206.924, -0.00463653
206.925, -0.00424603
206.926, -0.00385282
206.927, -0.00345695
206.928, -0.00305822
206.929, -0.00265667
206.93, -0.00225236
206.931, -0.00184531
206.932, -0.00143557
206.933, -0.00102318
206.934, -0.00060815
206.935, -0.000190525
206.936, 0.000229672
206.937, 0.000652531
206.938, 0.00107803
206.939, 0.00150929
206.94, 0.00194497
206.941, 0.00236925
206.942, 0.00278347
206.943, 0.00318856
206.944, 0.00358439
206.945, 0.00397105
206.946, 0.0043486
206.947, 0.00471716
206.948, 0.00507681
206.949, 0.00542767
206.95, 0.00576986
206.951, 0.00610347
206.952, 0.00642862
206.953, 0.00674543
206.954, 0.00705423
206.955, 0.0073551
206.956, 0.00764854
206.957, 0.00793456
206.958, 0.00821315
206.959, 0.00848432
206.96, 0.00874811
206.961, 0.00900462
206.962, 0.00925389
206.963, 0.00949596
206.964, 0.00973088
206.965, 0.00995871
206.966, 0.0101795
206.967, 0.0103933
206.968, 0.0106003
206.969, 0.0108003
206.97, 0.0109917
206.971, 0.0111764
206.972, 0.0113547
206.973, 0.0115276
206.974, 0.0116951
206.975, 0.0118571
206.976, 0.0120137
206.977, 0.0121651
206.978, 0.0123111
206.979, 0.0124519
206.98, 0.0125874
206.981, 0.0127154
206.982, 0.012836
206.983, 0.012949
206.984, 0.0130551
206.985, 0.0131544
206.986, 0.0132471
206.987, 0.0133333
206.988, 0.0134129
206.989, 0.013486
206.99, 0.0135529
206.991, 0.0136138
206.992, 0.0136688
206.993, 0.0137179
206.994, 0.013761
206.995, 0.0137983
206.996, 0.0138306
206.997, 0.0138575
206.998, 0.0138786
206.999, 0.0138943
207, 0.0139048
207.001, 0.0139101
207.002, 0.0139101
207.003, 0.0139047
207.004, 0.0138944
207.005, 0.0138789
207.006, 0.0138578
207.007, 0.0138318
207.008, 0.0138003
207.009, 0.0137635
207.01, 0.0137217
207.011, 0.013675
207.012, 0.0136236
207.013, 0.0135677
207.014, 0.0135073
207.015, 0.0134427
207.016, 0.0133738
207.017, 0.0132993
207.018, 0.0132213
207.019, 0.0131399
207.02, 0.0130549
207.021, 0.0129665
207.022, 0.0128747
207.023, 0.0127794
207.024, 0.0126809
207.025, 0.0125789
207.026, 0.0124736
207.027, 0.0123651
207.028, 0.0122532
207.029, 0.0121435
207.03, 0.0120359
207.031, 0.01193
207.032, 0.0118255
207.033, 0.0117224
207.034, 0.0116207
207.035, 0.0115203
207.036, 0.0114212
207.037, 0.0113235
207.038, 0.0112272
207.039, 0.0111323
207.04, 0.0110387
207.041, 0.0109461
207.042, 0.0108549
207.043, 0.0107617
207.044, 0.0106674
207.045, 0.0105722
207.046, 0.0104767
207.047, 0.0103813
207.048, 0.0102861
207.049, 0.0101914
207.05, 0.0100974
207.051, 0.0100041
207.052, 0.00991166
207.053, 0.00982009
207.054, 0.00972946
207.055, 0.0096399
207.056, 0.00955143
207.057, 0.00946705
207.058, 0.00938634
207.059, 0.00930918
207.06, 0.00923583
207.061, 0.00916586
207.062, 0.00909931
207.063, 0.00903621
207.064, 0.00897653
207.065, 0.00892026
207.066, 0.00886737
207.067, 0.00881782
207.068, 0.00877147
207.069, 0.00872779
207.07, 0.00868751
207.071, 0.00865056
207.072, 0.00861694
207.073, 0.00858661
207.074, 0.00855953
207.075, 0.00853566
207.076, 0.00851489
207.077, 0.00849725
207.078, 0.00848269
207.079, 0.00847219
207.08, 0.00846553
207.081, 0.00846256
207.082, 0.00846315
207.083, 0.00846718
207.084, 0.00847456
207.085, 0.00848518
207.086, 0.00849896
207.087, 0.00851593
207.088, 0.0085361
207.089, 0.00855935
207.09, 0.00858559
207.091, 0.00861457
207.092, 0.00864625
207.093, 0.00868057
207.094, 0.00871751
207.095, 0.00875688
207.096, 0.00879866
207.097, 0.00884284
207.098, 0.00888939
207.099, 0.00893829
207.1, 0.00898952
207.101, 0.00904304
207.102, 0.00909883
207.103, 0.00915686
207.104, 0.00921712
207.105, 0.00927956
207.106, 0.00934416
207.107, 0.0094109
207.108, 0.00947974
207.109, 0.00955067
207.11, 0.00962366
207.111, 0.00969867
207.112, 0.0097757
207.113, 0.00985635
207.114, 0.00993945
207.115, 0.0100237
207.116, 0.0101092
207.117, 0.0101959
207.118, 0.0102837
207.119, 0.010372
207.12, 0.0104609
207.121, 0.0105507
207.122, 0.0106377
207.123, 0.0107226
207.124, 0.0108026
207.125, 0.0108781
207.126, 0.0109492
207.127, 0.0110164
207.128, 0.01108
207.129, 0.0111405
207.13, 0.0111973
207.131, 0.0112508
207.132, 0.0113015
207.133, 0.0113496
207.134, 0.0113954
207.135, 0.0114392
207.136, 0.0114813
207.137, 0.0115152
207.138, 0.0115338
207.139, 0.0115388
207.14, 0.0115313
207.141, 0.0115128
207.142, 0.0114846
207.143, 0.0114478
207.144, 0.0114117
207.145, 0.0113623
207.146, 0.0112967
207.147, 0.0112114
207.148, 0.0111099
207.149, 0.0109956
207.15, 0.010868
207.151, 0.0107283
207.152, 0.0105771
207.153, 0.010415
207.154, 0.0102418
207.155, 0.0100577
207.156, 0.00986324
207.157, 0.00965848
207.158, 0.00944373
207.159, 0.00921919
207.16, 0.00898522
207.161, 0.00874548
