sim_time, big_dog?world_angular_velocity/y
207.26, -0.0107791
207.261, -0.0110987
207.262, -0.0128553
207.263, -0.0145607
207.264, -0.0161335
207.265, -0.0176327
207.266, -0.0190862
207.267, -0.0196951
207.268, -0.0210446
207.269, -0.0224042
207.27, -0.0237714
207.271, -0.0251442
207.272, -0.0245494
207.273, -0.0244068
207.274, -0.0246261
207.275, -0.0251332
207.276, -0.0258692
207.277, -0.0267816
207.278, -0.027854
207.279, -0.0290326
207.28, -0.030308
207.281, -0.0316397
207.282, -0.0330165
207.283, -0.0344287
207.284, -0.0358894
207.285, -0.0373515
207.286, -0.0388156
207.287, -0.0402821
207.288, -0.0417503
207.289, -0.0432195
207.29, -0.0446882
207.291, -0.0461551
207.292, -0.047619
207.293, -0.0490783
207.294, -0.0505319
207.295, -0.0519786
207.296, -0.0534173
207.297, -0.054847
207.298, -0.0562669
207.299, -0.0576763
207.3, -0.0589574
207.301, -0.0601887
207.302, -0.0613918
207.303, -0.0625765
207.304, -0.0655912
207.305, -0.0686869
207.306, -0.0709992
207.307, -0.0731441
207.308, -0.0751602
207.309, -0.0770664
207.31, -0.0788678
207.311, -0.0805867
207.312, -0.0822338
207.313, -0.083818
207.314, -0.0853469
207.315, -0.0868267
207.316, -0.0882625
207.317, -0.0896587
207.318, -0.0910018
207.319, -0.0920403
207.32, -0.0932959
207.321, -0.0945344
207.322, -0.0957556
207.323, -0.0969592
207.324, -0.0981455
207.325, -0.0993144
207.326, -0.100466
207.327, -0.101601
207.328, -0.102718
207.329, -0.103813
207.33, -0.104892
207.331, -0.105951
207.332, -0.106994
207.333, -0.108023
207.334, -0.109363
207.335, -0.11067
207.336, -0.111948
207.337, -0.113198
207.338, -0.11442
207.339, -0.115617
207.34, -0.116787
207.341, -0.117934
207.342, -0.119057
207.343, -0.116597
207.344, -0.114634
207.345, -0.112202
207.346, -0.109928
207.347, -0.107757
207.348, -0.105664
207.349, -0.103634
207.35, -0.101659
207.351, -0.0997341
207.352, -0.0978529
207.353, -0.0960118
207.354, -0.0942072
207.355, -0.0924362
207.356, -0.090305
207.357, -0.0880162
207.358, -0.0865854
207.359, -0.0851436
207.36, -0.0837461
207.361, -0.0823873
207.362, -0.0810123
207.363, -0.079677
207.364, -0.0783759
207.365, -0.0771043
207.366, -0.0758324
207.367, -0.074588
207.368, -0.0733675
207.369, -0.0721677
207.37, -0.070986
207.371, -0.0698203
207.372, -0.0686686
207.373, -0.0675296
207.374, -0.0662936
207.375, -0.0624556
207.376, -0.0589098
207.377, -0.0555767
207.378, -0.0524131
207.379, -0.0493927
207.38, -0.0464966
207.381, -0.0437093
207.382, -0.0410183
207.383, -0.0384128
207.384, -0.0358836
207.385, -0.0334228
207.386, -0.0312051
207.387, -0.0291615
207.388, -0.027153
207.389, -0.0244111
207.39, -0.0215711
207.391, -0.0187263
207.392, -0.0162576
207.393, -0.0147823
207.394, -0.0135112
207.395, -0.0124117
207.396, -0.0109899
207.397, -0.0101211
207.398, -0.00937455
207.399, -0.00842336
207.4, -0.00783709
207.401, -0.00733504
207.402, -0.00690384
207.403, -0.00653243
207.404, -0.00621161
207.405, -0.00589462
207.406, -0.00562011
207.407, -0.00538175
207.408, -0.00517428
207.409, -0.00600887
207.41, -0.00685953
207.411, -0.00706318
207.412, -0.00662331
207.413, -0.00621371
207.414, 0.00572766
207.415, 0.0164433
207.416, 0.0262936
207.417, 0.0305186
207.418, 0.0421799
207.419, 0.0584443
207.42, 0.0715321
207.421, 0.0820534
207.422, 0.0916932
207.423, 0.100794
207.424, 0.109514
207.425, 0.117942
207.426, 0.126114
207.427, 0.134055
207.428, 0.141786
207.429, 0.149322
207.43, 0.156677
207.431, 0.163864
207.432, 0.167338
207.433, 0.170779
207.434, 0.174371
207.435, 0.178094
207.436, 0.18534
207.437, 0.192475
207.438, 0.1997
207.439, 0.206812
207.44, 0.213792
207.441, 0.220503
207.442, 0.227363
207.443, 0.233914
207.444, 0.240314
207.445, 0.246573
207.446, 0.252698
207.447, 0.2587
207.448, 0.256382
207.449, 0.254536
207.45, 0.252921
207.451, 0.251443
207.452, 0.250062
207.453, 0.248759
207.454, 0.247827
207.455, 0.246904
207.456, 0.24599
207.457, 0.245085
207.458, 0.244677
207.459, 0.244141
207.46, 0.24373
207.461, 0.243241
207.462, 0.241843
207.463, 0.236859
207.464, 0.232162
207.465, 0.229796
207.466, 0.227987
207.467, 0.226716
207.468, 0.225526
207.469, 0.224512
207.47, 0.223721
207.471, 0.22325
207.472, 0.222786
207.473, 0.222377
207.474, 0.222
207.475, 0.221651
207.476, 0.221324
207.477, 0.221017
207.478, 0.220725
207.479, 0.220448
207.48, 0.220182
207.481, 0.219928
207.482, 0.220404
207.483, 0.220754
207.484, 0.221001
207.485, 0.221163
207.486, 0.221255
207.487, 0.22215
207.488, 0.223034
207.489, 0.223905
207.49, 0.22476
207.491, 0.2256
207.492, 0.226423
207.493, 0.218522
207.494, 0.211241
207.495, 0.204535
207.496, 0.198034
207.497, 0.191696
207.498, 0.185498
207.499, 0.179426
207.5, 0.173565
207.501, 0.167789
207.502, 0.16255
207.503, 0.157323
207.504, 0.152114
207.505, 0.147442
207.506, 0.142695
207.507, 0.137894
207.508, 0.133059
207.509, 0.128274
207.51, 0.123469
207.511, 0.117449
207.512, 0.112711
207.513, 0.108054
207.514, 0.103296
207.515, 0.0985518
207.516, 0.0941486
207.517, 0.0891809
207.518, 0.0846474
207.519, 0.0802683
207.52, 0.0760233
207.521, 0.0718928
207.522, 0.0678621
207.523, 0.0639195
207.524, 0.0605601
207.525, 0.0571622
207.526, 0.0542908
207.527, 0.0513755
207.528, 0.0484408
207.529, 0.0455018
207.53, 0.0429161
207.531, 0.0402727
207.532, 0.0375909
207.533, 0.0348866
207.534, 0.0321721
207.535, 0.029457
207.536, 0.0267487
207.537, 0.0256823
207.538, 0.0225644
207.539, 0.0195635
207.54, 0.016671
207.541, 0.0138764
207.542, 0.0111706
207.543, 0.00854534
207.544, 0.00599348
207.545, 0.00350854
207.546, 0.00108485
207.547, -0.00128269
207.548, -0.00359856
207.549, -0.00623434
207.55, -0.00886214
207.551, -0.011464
207.552, -0.0140276
207.553, -0.0160181
207.554, -0.017953
207.555, -0.0195956
207.556, -0.0212521
207.557, -0.0229204
207.558, -0.024598
207.559, -0.0262827
207.56, -0.0279725
207.561, -0.0296656
207.562, -0.0313603
207.563, -0.033055
207.564, -0.0347485
207.565, -0.0353577
207.566, -0.0337708
207.567, -0.0321773
207.568, -0.0301724
207.569, -0.0283817
207.57, -0.0267412
207.571, -0.0252159
207.572, -0.0237824
207.573, -0.022424
207.574, -0.0211278
207.575, -0.0198585
207.576, -0.0186382
207.577, -0.01746
207.578, -0.0163184
207.579, -0.0152088
207.58, -0.0141277
207.581, -0.0130723
207.582, -0.0120404
207.583, -0.0110301
207.584, -0.00982172
207.585, -0.00866987
207.586, -0.00756717
207.587, -0.00743525
207.588, -0.0072435
207.589, -0.00691644
207.59, -0.00651337
207.591, -0.00614229
207.592, -0.00561905
207.593, -0.0050504
207.594, -0.00444536
207.595, -0.00381144
207.596, -0.00315869
207.597, -0.00248785
207.598, -0.0018036
207.599, -0.00117981
207.6, -0.000537114
207.601, 0.000119491
207.602, 0.000785858
207.603, 0.0014585
207.604, 0.00213448
207.605, 0.00281134
207.606, 0.00348702
207.607, 0.00527759
207.608, 0.00689293
207.609, 0.00828582
207.61, 0.00968466
207.611, 0.0110973
207.612, 0.0125229
207.613, 0.0131738
207.614, 0.013962
207.615, 0.0150282
207.616, 0.0159292
207.617, 0.0169209
207.618, 0.0178272
207.619, 0.0188212
207.62, 0.0198876
207.621, 0.0210134
207.622, 0.0221876
207.623, 0.0234007
207.624, 0.0246449
207.625, 0.0259134
207.626, 0.0272004
207.627, 0.028501
207.628, 0.0298111
207.629, 0.0311272
207.63, 0.0324461
207.631, 0.0337655
207.632, 0.0345632
207.633, 0.0354386
207.634, 0.0359085
207.635, 0.0366825
207.636, 0.0375539
207.637, 0.038506
207.638, 0.0395276
207.639, 0.0406044
207.64, 0.0416453
207.641, 0.0427347
207.642, 0.0433856
207.643, 0.0441078
207.644, 0.044925
207.645, 0.0455703
207.646, 0.0460848
207.647, 0.0433561
207.648, 0.0410248
207.649, 0.0390287
207.65, 0.0373165
207.651, 0.0358452
207.652, 0.0345787
207.653, 0.0315505
207.654, 0.0296612
