sim_time, big_dog?world_pose/orientation/roll
209.015, -0.00538685
209.016, -0.00565431
209.017, -0.0059216
209.018, -0.00618877
209.019, -0.00645587
209.02, -0.006723
209.021, -0.00697879
209.022, -0.00722488
209.023, -0.00746158
209.024, -0.00768895
209.025, -0.00790687
209.026, -0.00811556
209.027, -0.00831503
209.028, -0.00850531
209.029, -0.00868644
209.03, -0.00885848
209.031, -0.00902145
209.032, -0.00917565
209.033, -0.00932059
209.034, -0.00945636
209.035, -0.009583
209.036, -0.00970018
209.037, -0.00980802
209.038, -0.00990661
209.039, -0.00999547
209.04, -0.0100744
209.041, -0.0101437
209.042, -0.0102037
209.043, -0.0102549
209.044, -0.0102969
209.045, -0.0103302
209.046, -0.0103546
209.047, -0.0103699
209.048, -0.0103765
209.049, -0.0103743
209.05, -0.0103635
209.051, -0.0103441
209.052, -0.0103162
209.053, -0.0102799
209.054, -0.0102353
209.055, -0.0101832
209.056, -0.0101218
209.057, -0.0100511
209.058, -0.00997136
209.059, -0.00988265
209.06, -0.0097846
209.061, -0.00967737
209.062, -0.00956112
209.063, -0.00943574
209.064, -0.00930138
209.065, -0.00915819
209.066, -0.0090063
209.067, -0.008846
209.068, -0.00867824
209.069, -0.00850304
209.07, -0.00832043
209.071, -0.00813042
209.072, -0.00793304
209.073, -0.00772832
209.074, -0.00751629
209.075, -0.00729697
209.076, -0.00707039
209.077, -0.0068437
209.078, -0.00661598
209.079, -0.00638698
209.08, -0.00615665
209.081, -0.00592494
209.082, -0.00569181
209.083, -0.00545616
209.084, -0.00521807
209.085, -0.00497757
209.086, -0.00473473
209.087, -0.00448957
209.088, -0.00424247
209.089, -0.00399342
209.09, -0.00374166
209.091, -0.00348729
209.092, -0.00323035
209.093, -0.00297116
209.094, -0.00270919
209.095, -0.0024445
209.096, -0.00217717
209.097, -0.00190727
209.098, -0.00163456
209.099, -0.00135914
209.1, -0.00108106
209.101, -0.000800395
209.102, -0.000517196
209.103, -0.000231513
209.104, 5.64542e-05
209.105, 0.00034678
209.106, 0.000639416
209.107, 0.000934094
209.108, 0.00123125
209.109, 0.0015308
209.11, 0.00183269
209.111, 0.00213685
209.112, 0.00244323
209.113, 0.00275179
209.114, 0.00306248
209.115, 0.00337527
209.116, 0.00369012
209.117, 0.004007
209.118, 0.00432589
209.119, 0.00464675
209.12, 0.00496957
209.121, 0.00529432
209.122, 0.00562098
209.123, 0.00594954
209.124, 0.00627963
209.125, 0.00661203
209.126, 0.00694667
209.127, 0.00728351
209.128, 0.0076225
209.129, 0.00796359
209.13, 0.00830675
209.131, 0.00865179
209.132, 0.00899726
209.133, 0.00934329
209.134, 0.00969
209.135, 0.0100375
209.136, 0.0103858
209.137, 0.010735
209.138, 0.0110852
209.139, 0.0114241
209.14, 0.011753
209.141, 0.0120728
209.142, 0.0123828
209.143, 0.0126844
209.144, 0.0129772
209.145, 0.0132612
209.146, 0.0135364
209.147, 0.0138028
209.148, 0.0140604
209.149, 0.0143089
209.15, 0.0145488
209.151, 0.01478
209.152, 0.0150028
209.153, 0.015217
209.154, 0.0154228
209.155, 0.0156202
209.156, 0.0158092
209.157, 0.01599
209.158, 0.0161625
209.159, 0.0163269
209.16, 0.0164817
209.161, 0.0166264
209.162, 0.0167613
209.163, 0.0168864
209.164, 0.0170019
209.165, 0.0171081
209.166, 0.0172049
209.167, 0.0172927
209.168, 0.0173708
